Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,40.020000,40.020000,40.020000,40.020000,39.383087,0
2021-06-22,40.060001,40.060001,40.060001,40.060001,39.422451,0
2021-06-23,40.160000,40.160000,40.160000,40.160000,39.520859,0
2021-06-24,40.320000,40.320000,40.320000,40.320000,39.678314,0
2021-06-25,39.950001,39.950001,39.950001,39.950001,39.314201,0
2021-06-28,39.919998,39.919998,39.919998,39.919998,39.284679,0
2021-06-29,40.419998,40.419998,40.419998,40.419998,39.776722,0
2021-06-30,40.529999,40.529999,40.529999,40.529999,39.884972,0
2021-07-01,40.480000,40.480000,40.480000,40.480000,39.835766,0
2021-07-02,40.299999,40.299999,40.299999,40.299999,39.658634,0
2021-07-06,39.799999,39.799999,39.799999,39.799999,39.166588,0
2021-07-07,39.049999,39.049999,39.049999,39.049999,38.428524,0
2021-07-08,38.459999,38.459999,38.459999,38.459999,37.847912,0
2021-07-09,39.169998,39.169998,39.169998,39.169998,38.546616,0
2021-07-12,39.369999,39.369999,39.369999,39.369999,38.743431,0
2021-07-13,39.090000,39.090000,39.090000,39.090000,38.467888,0
2021-07-14,38.599998,38.599998,38.599998,38.599998,37.985687,0
2021-07-15,38.029999,38.029999,38.029999,38.029999,37.424759,0
2021-07-16,37.689999,37.689999,37.689999,37.689999,37.090168,0
2021-07-19,37.090000,37.090000,37.090000,37.090000,36.499718,0
2021-07-20,37.900002,37.900002,37.900002,37.900002,37.296825,0
2021-07-21,38.830002,38.830002,38.830002,38.830002,38.212029,0
2021-07-22,38.810001,38.810001,38.810001,38.810001,38.192345,0
2021-07-23,38.779999,38.779999,38.779999,38.779999,38.162823,0
2021-07-26,40.000000,40.000000,40.000000,40.000000,39.363407,0
2021-07-27,39.250000,39.250000,39.250000,39.250000,38.625343,0
2021-07-28,40.119999,40.119999,40.119999,40.119999,39.481495,0
2021-07-29,39.849998,39.849998,39.849998,39.849998,39.215794,0
2021-07-30,40.259998,40.259998,40.259998,40.259998,39.619263,0
2021-08-02,39.860001,39.860001,39.860001,39.860001,39.225636,0
2021-08-03,39.590000,39.590000,39.590000,39.590000,38.959930,0
2021-08-04,39.419998,39.419998,39.419998,39.419998,38.792633,0
2021-08-05,39.810001,39.810001,39.810001,39.810001,39.176434,0
2021-08-06,40.340000,40.340000,40.340000,40.340000,39.697998,0
2021-08-09,40.869999,40.869999,40.869999,40.869999,40.219559,0
2021-08-10,40.950001,40.950001,40.950001,40.950001,40.298290,0
2021-08-11,41.029999,41.029999,41.029999,41.029999,40.377014,0
2021-08-12,40.830002,40.830002,40.830002,40.830002,40.180195,0
2021-08-13,40.820000,40.820000,40.820000,40.820000,40.170353,0
2021-08-16,40.279999,40.279999,40.279999,40.279999,39.638947,0
2021-08-17,39.680000,39.680000,39.680000,39.680000,39.048496,0
2021-08-18,38.849998,38.849998,38.849998,38.849998,38.231705,0
2021-08-19,38.689999,38.689999,38.689999,38.689999,38.074253,0
2021-08-20,39.220001,39.220001,39.220001,39.220001,38.595821,0
2021-08-23,39.660000,39.660000,39.660000,39.660000,39.028816,0
2021-08-24,39.860001,39.860001,39.860001,39.860001,39.225636,0
2021-08-25,40.080002,40.080002,40.080002,40.080002,39.442135,0
2021-08-26,39.380001,39.380001,39.380001,39.380001,38.753273,0
2021-08-27,40.130001,40.130001,40.130001,40.130001,39.491337,0
2021-08-30,40.060001,40.060001,40.060001,40.060001,39.422451,0
2021-08-31,39.259998,39.259998,39.259998,39.259998,38.635181,0
2021-09-01,39.380001,39.380001,39.380001,39.380001,38.753273,0
2021-09-02,39.279999,39.279999,39.279999,39.279999,38.654865,0
2021-09-03,39.330002,39.330002,39.330002,39.330002,38.704071,0
2021-09-07,37.950001,37.950001,37.950001,37.950001,37.346031,0
2021-09-08,37.980000,37.980000,37.980000,37.980000,37.375553,0
2021-09-09,37.959999,37.959999,37.959999,37.959999,37.355869,0
2021-09-10,37.720001,37.720001,37.720001,37.720001,37.119694,0
2021-09-13,37.730000,37.730000,37.730000,37.730000,37.129532,0
2021-09-14,37.630001,37.630001,37.630001,37.630001,37.031124,0
2021-09-15,38.439999,38.439999,38.439999,38.439999,37.828232,0
2021-09-16,38.119999,38.119999,38.119999,38.119999,37.513325,0
2021-09-17,38.619999,38.619999,38.619999,38.619999,38.005367,0
2021-09-20,37.209999,37.209999,37.209999,37.209999,36.617805,0
2021-09-21,37.070000,37.070000,37.070000,37.070000,36.480038,0
2021-09-22,37.630001,37.630001,37.630001,37.630001,37.031124,0
2021-09-23,38.279999,38.279999,38.279999,38.279999,37.670776,0
2021-09-24,37.910000,37.910000,37.910000,37.910000,37.306667,0
2021-09-27,38.580002,38.580002,38.580002,38.580002,37.966007,0
2021-09-28,37.869999,37.869999,37.869999,37.869999,37.267303,0
2021-09-29,36.720001,36.720001,36.720001,36.720001,36.135605,0
2021-09-30,36.709999,36.709999,36.709999,36.709999,36.125763,0
2021-10-01,37.000000,37.000000,37.000000,37.000000,36.411152,0
2021-10-04,37.080002,37.080002,37.080002,37.080002,36.489880,0
2021-10-05,37.730000,37.730000,37.730000,37.730000,37.129532,0
2021-10-06,37.950001,37.950001,37.950001,37.950001,37.346031,0
2021-10-07,38.090000,38.090000,38.090000,38.090000,37.483803,0
